City,Location,Coordinates,2,3
"MILFORD, NJ","Milford, NJ 08848, USA","(40.5687128, -75.09461689999999)",,
"BIRMINGHAM, AL","Birmingham, AL, USA","(33.5185892, -86.8103567)",,
"WEST MONROE, LA","West Monroe, LA, USA","(32.5184775, -92.14763529999999)",,
"LADSON, SC","Ladson, SC, USA","(32.9857275, -80.1098123)",,
"DANVILLE, VA","Danville, VA, USA","(36.5859718, -79.39502279999999)",,
"HUNT VALLEY, MD","Hunt Valley, Cockeysville, MD, USA","(39.4900013, -76.65850739999999)",,
"COLUMBIA, SC","Columbia, SC, USA","(34.0007104, -81.0348144)",,
"CHICKASAW, AL","Chickasaw, AL, USA","(30.7637991, -88.0747222)",,
"STATEN ISLAND, NY","Staten Island, NY, USA","(40.5795317, -74.1502007)",,
"SPOTSWOOD, NJ","Spotswood, NJ, USA","(40.391774, -74.3984834)",,
"BIGLERVILLE, PA","Biglerville, PA 17307, USA","(39.9303715, -77.2480391)",,
"ASHEBORO, NC","Asheboro, NC, USA","(35.7079146, -79.8136446)",,
"SHAKOPEE, MN","Shakopee, MN, USA","(44.7973962, -93.5272861)",,
"DES MOINES, IA","Des Moines, IA, USA","(41.5868353, -93.6249593)",,
"ANTIOCH, TN","Antioch, Nashville, TN 37013, USA","(36.0597177, -86.6715948)",,
"LAGRANGE, GA","LaGrange, GA, USA","(33.0362218, -85.0322444)",,
"LAKEVILLE, MN","Lakeville, MN, USA","(44.6496868, -93.24271999999999)",,
"NEWBURGH, NY","Newburgh, NY 12550, USA","(41.5034271, -74.0104178)",,
"ROCKLEDGE, FL","Rockledge, FL, USA","(28.3164498, -80.72698539999999)",,
"CARLISLE, PA","Carlisle, PA 17013, USA","(40.2010241, -77.20027449999999)",,
"JESSUP, MD","Jessup, MD 20794, USA","(39.1492746, -76.7752493)",,
"AVENEL, NJ","Avenel, Woodbridge Township, NJ, USA","(40.5803818, -74.28514690000002)",,
"BETHEL, PA","Bethel, PA 19507, USA","(40.4744241, -76.2920293)",,
"YONKERS, NY","Yonkers, NY, USA","(40.9312099, -73.89874689999999)",,
"HANOVER TWP, PA","Hanover Township, PA, USA","(41.2220253, -75.9347113)",,
"SUFFERN, NY","Suffern, NY 10901, USA","(41.1148179, -74.1495889)",,
"MARLBORO, NY","Marlboro, NY 12542, USA","(41.60564919999999, -73.9715276)",,
"PEABODY, MA","Peabody, MA, USA","(42.5278731, -70.9286609)",,
"BUFFALO, NY","Buffalo, NY, USA","(42.88644679999999, -78.8783689)",,
"WESTBOROUGH, MA","Westborough, MA, USA","(42.2695216, -71.61612939999999)",,
"ALBANY, NY","Albany, NY, USA","(42.6525793, -73.7562317)",,
"BISMARCK, ND","Bismarck, ND, USA","(46.8083268, -100.7837392)",,
"PAWTUCKET, RI","Pawtucket, RI, USA","(41.878711, -71.38255579999999)",,
"KENSINGTON, CT","Kensington, Berlin, CT, USA","(41.6353769, -72.7687083)",,
"CHARLESTOWN, MA","Charlestown, Boston, MA, USA","(42.3782065, -71.0602131)",,
"POTTSVILLE, PA","Pottsville, PA 17901, USA","(40.6856456, -76.195499)",,
"ROCHESTER, NY","Rochester, NY, USA","(43.15657789999999, -77.6088465)",,
"ROSEVILLE, MN","Roseville, MN 55113, USA","(45.0060767, -93.15661070000002)",,
"EAGAN, MN","Eagan, MN, USA","(44.8041322, -93.1668858)",,
"ROCKVILLE, MD","Rockville, MD, USA","(39.0839973, -77.1527578)",,
"NEW CASTLE, DE","New Castle, DE 19720, USA","(39.6620397, -75.5668166)",,
"CLEARWATER, FL","Clearwater, FL, USA","(27.9658533, -82.8001026)",,
"LAURENS, SC","Laurens, SC 29360, USA","(34.4990116, -82.0142597)",,
"DOWELLTOWN, TN","Dowelltown, TN 37059, USA","(36.0150608, -85.9435987)",,
"LYNCHBURG, VA","Lynchburg, VA, USA","(37.4137536, -79.14224639999999)",,
"SALEM, VA","Salem, VA 24153, USA","(37.2934681, -80.05476259999999)",,
"FT. LAUDERDALE, FL","Fort Lauderdale, FL, USA","(26.1224386, -80.13731740000001)",,
"RUSKIN, FL","Ruskin, FL, USA","(27.7208633, -82.4331495)",,
"HOPKINS, MN","Hopkins, MN, USA","(44.9260794, -93.4044187)",,
"ANNISTON, AL","Anniston, AL, USA","(33.6598257, -85.8316318)",,
"ROME, GA","Rome, GA, USA","(34.257038, -85.1646726)",,
"POWDER SPRINGS, GA","Powder Springs, GA, USA","(33.8595491, -84.683824)",,
"DISPUTANTA, VA","Disputanta, VA 23842, USA","(37.124332, -77.22637399999999)",,
"SCHODACK LANDING, NY","Schodack Landing, NY 12156, USA","(42.479526, -73.7695669)",,
"GREER, SC","Greer, SC, USA","(34.9387279, -82.2270568)",,
"BUTNER, NC","Butner, NC 27509, USA","(36.1320892, -78.7566714)",,
"HAZLETON, PA","Hazleton, PA, USA","(40.9584181, -75.97464719999999)",,
"WINCHESTER, VA","Winchester, VA 22601, USA","(39.1856597, -78.1633341)",,
"PALATKA, FL","Palatka, FL 32177, USA","(29.6485801, -81.6375819)",,
"ASHEVILLE, NC","Asheville, NC, USA","(35.5950581, -82.5514869)",,
"FAYETTEVILLE, NC","Fayetteville, NC, USA","(35.0526641, -78.87835849999999)",,
"WILMINGTON, NC","Wilmington, NC, USA","(34.2103894, -77.8868117)",,
"ALLENTOWN, PA","Allentown, PA, USA","(40.6022939, -75.4714098)",,
"BREINIGSVILLE, PA","Breinigsville, PA 18031, USA","(40.5393961, -75.631484)",,
"SCRANTON, PA","Scranton, PA, USA","(41.408969, -75.66241219999999)",,
"TULLAHOMA, TN","Tullahoma, TN, USA","(35.3620235, -86.20943419999999)",,
"LAKE PARK, GA","Lake Park, GA 31636, USA","(30.6846637, -83.1828732)",,
"ZELLWOOD, FL","Zellwood, FL, USA","(28.7311059, -81.60118489999999)",,
"FORT MYERS, FL","Fort Myers, FL, USA","(26.640628, -81.8723084)",,
"HARDEEVILLE, SC","Hardeeville, SC, USA","(32.2871413, -81.08066649999999)",,
"LAVERGNE, TN","La Vergne, TN, USA","(36.0156178, -86.5819394)",,
"CRANBURY, NJ","Cranbury Township, NJ, USA","(40.3025907, -74.511172)",,
"TIFTON, GA","Tifton, GA, USA","(31.4504629, -83.5084973)",,
"LUGOFF, SC","Lugoff, SC 29078, USA","(34.2273712, -80.6892486)",,
"MIDLOTHIAN, TX","Midlothian, TX, USA","(32.482361, -96.9944489)",,
"MIDWAY, GA","Midway, GA 31320, USA","(31.8053848, -81.4306953)",,
"TYLER, TX","Tyler, TX, USA","(32.3512601, -95.30106239999999)",,
"HOMER CITY, PA","Homer City, PA 15748, USA","(40.5434007, -79.16225659999999)",,
"OPELIKA, AL","Opelika, AL, USA","(32.6454116, -85.3782795)",,
"CRAWFORDSVILLE, IN","Crawfordsville, IN 47933, USA","(40.0411536, -86.87445160000001)",,
"WILTON, NY","Wilton, NY 12831, USA","(43.1800734, -73.7442863)",,
"NEWTON, NC","Newton, NC, USA","(35.6698552, -81.22147079999999)",,
"LAUREL, MD","Laurel, MD, USA","(39.0992752, -76.8483061)",,
"WAPAKONETA, OH","Wapakoneta, OH 45895, USA","(40.5678265, -84.1935594)",,
"TRENTON, NJ","Trenton, NJ, USA","(40.2205824, -74.759717)",,
"BROOKSVILLE, FL","Brooksville, FL 34601, USA","(28.5552719, -82.3878709)",,
"CAMDEN, NJ","Camden, NJ, USA","(39.9259463, -75.1196199)",,
"DERWOOD, MD","Derwood, MD 20855, USA","(39.1174267, -77.1611903)",,
"SARASOTA, FL","Sarasota, FL, USA","(27.3364347, -82.53065269999999)",,
"ELK GROVE VILLAGE, IL","Elk Grove Village, IL 60007, USA","(42.0039178, -87.9703461)",,
"VANCE, AL","Vance, AL, USA","(33.1742847, -87.23360919999999)",,
"COCKEYSVILLE, MD","Cockeysville, MD, USA","(39.4812172, -76.6438598)",,
"MANASSAS, VA","Manassas, VA, USA","(38.7509488, -77.47526669999999)",,
"ROYAL OAK, MI","Royal Oak, MI, USA","(42.4894801, -83.1446485)",,
"MONTGOMERYVILLE, PA","Montgomeryville, PA, USA","(40.24732909999999, -75.2437853)",,
"HILLBURN, NY","Hillburn, NY, USA","(41.1239845, -74.1693119)",,
"RUTLAND, VT","Rutland, VT 05701, USA","(43.6106237, -72.9726065)",,
"TREXLERTOWN, PA","Trexlertown, PA, USA","(40.5479136, -75.60591769999999)",,
"READING, PA","Reading, PA, USA","(40.3356483, -75.9268747)",,
"FORT PAYNE, AL","Fort Payne, AL, USA","(34.4442547, -85.7196893)",,
"BESSEMER, AL","Bessemer, AL, USA","(33.4017766, -86.954437)",,
"TAYLOR, MI","Taylor, MI 48180, USA","(42.240872, -83.2696509)",,
"DAYTONA, FL","Daytona Beach, FL, USA","(29.2108147, -81.0228331)",,
"CANASTOTA, NY","Canastota, NY 13032, USA","(43.0795121, -75.7507413)",,
"POMPANO BEACH, FL","Pompano Beach, FL, USA","(26.2378597, -80.1247667)",,
"DEERFIELD BEACH, FL","Deerfield Beach, FL, USA","(26.3184123, -80.09976569999999)",,
"ALPHARETTA, GA","Alpharetta, GA, USA","(34.0753762, -84.2940899)",,
"LITITZ, PA","Lititz, PA 17543, USA","(40.1573169, -76.3069014)",,
"HARRISBURG, PA","Harrisburg, PA, USA","(40.2731911, -76.8867008)",,
"LEBANON, PA","Lebanon, PA, USA","(40.3409251, -76.4113497)",,
"NEWNAN, GA","Newnan, GA, USA","(33.3806716, -84.79965729999999)",,
"UTICA, NY","Utica, NY, USA","(43.100903, -75.232664)",,
"SANFORD, FL","Sanford, FL, USA","(28.8028612, -81.269453)",,
"PORT ORANGE, FL","Port Orange, FL, USA","(29.1383165, -80.9956105)",,
"DUNN, NC","Dunn, NC 28334, USA","(35.3062743, -78.6089028)",,
"LAWRENCEVILLE, GA","Lawrenceville, GA, USA","(33.9562149, -83.9879625)",,
"PEMBROKE PINES, FL","Pembroke Pines, FL, USA","(26.007765, -80.2962555)",,
"FORT MILL, SC","Fort Mill, SC, USA","(35.0073697, -80.94507589999999)",,
"MARIETTA, GA","Marietta, GA, USA","(33.95260200000001, -84.5499327)",,
"BETHLEHEM, PA","Bethlehem, PA, USA","(40.6259316, -75.37045789999999)",,
"TANEYTOWN, MD","Taneytown, MD 21787, USA","(39.6578773, -77.1744279)",,
"ENDICOTT, NY","Endicott, NY 13760, USA","(42.098408, -76.04936839999999)",,
"SOUTH CALHOUN, GA","Calhoun, GA, USA","(34.502587, -84.9510542)",,
"SCHENECTADY, NY","Schenectady, NY, USA","(42.8142432, -73.9395687)",,
"WILKES BARRE, PA","Wilkes-Barre, PA, USA","(41.2459149, -75.88130749999999)",,
"DENVER, PA","Denver, PA, USA","(40.2331483, -76.1371683)",,
"FRANKLIN, TN","Franklin, TN, USA","(35.9250637, -86.8688899)",,
"BINGHAMTON, NY","Binghamton, NY, USA","(42.09868669999999, -75.91797380000001)",,
"FRUITLAND, MD","Fruitland, MD, USA","(38.3220633, -75.6202029)",,
"GIBBSTOWN, NJ","Gibbstown, Greenwich Township, NJ 08027, USA","(39.8251131, -75.28351909999999)",,
"BRASELTON, GA","Braselton, GA, USA","(34.1092735, -83.7626729)",,
"HELLERTOWN, PA","Hellertown, PA, USA","(40.57954369999999, -75.34073459999999)",,
"ONEONTA, NY","Oneonta, NY 13820, USA","(42.4528571, -75.0637746)",,
"ROMULUS, MI","Romulus, MI, USA","(42.2222614, -83.39659940000001)",,
"SMYRNA, TN","Smyrna, TN, USA","(35.9828412, -86.5186045)",,
"JUPITER, FL","Jupiter, FL, USA","(26.9342246, -80.0942087)",,
"SUMTER, SC","Sumter, SC, USA","(33.9204354, -80.3414693)",,
"HAGERSTOWN, MD","Hagerstown, MD, USA","(39.6417629, -77.71999319999999)",,
"CLEVELAND, TN","Cleveland, TN, USA","(35.1595182, -84.8766115)",,
"NASHVILLE, AR","Nashville, AR 71852, USA","(33.9456692, -93.847129)",,
"BEACON, NY","Beacon, NY 12508, USA","(41.5048158, -73.9695832)",,
"JEFFERSONVILLE, IN","Jeffersonville, IN, USA","(38.2775702, -85.7371847)",,
"GALLATIN, TN","Gallatin, TN 37066, USA","(36.3883809, -86.4466599)",,
"HUNTSVILLE, AL","Huntsville, AL, USA","(34.7303688, -86.5861037)",,
"ROYAL PALM BEACH, FL","Royal Palm Beach, FL, USA","(26.7083984, -80.2306019)",,
"DAVENPORT, FL","Davenport, FL, USA","(28.1614046, -81.60174169999999)",,
"SAINT PETERSBURG, FL","St. Petersburg, FL, USA","(27.7676008, -82.64029149999999)",,
"NICHOLASVILLE, KY","Nicholasville, KY 40356, USA","(37.8806341, -84.5729961)",,
"FRANKLIN, WI","Franklin, WI 53132, USA","(42.888627, -88.03841949999999)",,
"OSHKOSH, WI","Oshkosh, WI, USA","(44.0247062, -88.5426136)",,
"NEWTON, IA","Newton, IA 50208, USA","(41.7033177, -93.05735330000002)",,
"ELK RIVER, MN","Elk River, MN 55330, USA","(45.33772829999999, -93.56911219999999)",,
"GOLDEN VALLEY, MN","Golden Valley, MN, USA","(44.9917149, -93.3600034)",,
"ELIZABETHTOWN, PA","Elizabethtown, PA 17022, USA","(40.1528719, -76.6027455)",,
"FITCHBURG, MA","Fitchburg, MA 01420, USA","(42.5834228, -71.8022955)",,
"DRUMMONDVILLE, QC","Drummondville, QC, Canada","(45.8802909, -72.4842824)",,
"MOUNT LAUREL, NJ","Mt Laurel Township, NJ, USA","(39.934002, -74.89099879999999)",,
"MOUNT ORAB, OH","Mt Orab, OH, USA","(39.0275659, -83.91965200000001)",,
"CHARLEROI, PA","Charleroi, PA 15022, USA","(40.1378499, -79.89810349999999)",,
"AKRON, OH","Akron, OH, USA","(41.0814447, -81.51900529999999)",,
"MELROSE PARK, IL","Melrose Park, IL, USA","(41.9005865, -87.8567276)",,
"SEABROOK, TX","Seabrook, TX, USA","(29.56411839999999, -95.0254839)",,
"WIGGINS, MS","Wiggins, MS 39577, USA","(30.858244, -89.1353283)",,
"LANETT, AL","Lanett, AL 36863, USA","(32.86873910000001, -85.1904971)",,
"LA PORTE, TX","La Porte, TX 77571, USA","(29.6657838, -95.0193728)",,
"EUTAW, AL","Eutaw, AL 35462, USA","(32.8406848, -87.8875145)",,
"HAGERSTOWN, IN","Hagerstown, IN 47346, USA","(39.9111576, -85.1616315)",,
"WEST HAZLETON, PA","West Hazleton, PA, USA","(40.9586956, -75.9960371)",,
"SAINT CHARLES, MO","St Charles, MO, USA","(38.7881062, -90.4974359)",,
"KENT, WA","Kent, WA, USA","(47.3809335, -122.2348432)",,
"FOLKSTON, GA","Folkston, GA 31537, USA","(30.8305102, -82.0098375)",,
"MONROE, GA","Monroe, GA, USA","(33.7948364, -83.713229)",,
"PUTNAM, CT","Putnam, CT, USA","(41.90460119999999, -71.8689917)",,
"DOSWELL, VA","Doswell, VA, USA","(37.8654625, -77.4645517)",,
"HARRISONBURG, VA","Harrisonburg, VA, USA","(38.4495688, -78.8689155)",,
"HARRISBURG, NC","Harrisburg, NC, USA","(35.3237528, -80.6559017)",,
"HAZLE TOWNSHIP, PA","Hazle Township, PA, USA","(40.9568399, -76.02758589999999)",,
"PINELLAS PARK, FL","Pinellas Park, FL, USA","(27.8428025, -82.6995443)",,
"FORT WALTON BEACH, FL","Fort Walton Beach, FL, USA","(30.42007079999999, -86.6170308)",,
"MANCHESTER, NH","Manchester, NH, USA","(42.9956397, -71.4547891)",,
"TAYLOR, PA","Taylor, PA, USA","(41.3948017, -75.70658019999999)",,
"CHAMBERSBURG, PA","Chambersburg, PA, USA","(39.9375911, -77.6611022)",,
"SALEM, MA","Salem, MA, USA","(42.51954, -70.8967155)",,
"SHELTON, CT","Shelton, CT 06484, USA","(41.3164856, -73.0931641)",,
"PLAINVILLE, CT","Plainville, CT 06062, USA","(41.6757457, -72.86336349999999)",,
"HARTFORD, CT","Hartford, CT, USA","(41.7658043, -72.6733723)",,
"LA CROSSE, WI","La Crosse, WI, USA","(43.8137751, -91.25190169999999)",,
"LITTLETON, NH","Littleton, NH 03561, USA","(44.3061628, -71.7701237)",,
"WEST COLUMBIA, SC","West Columbia, SC 29169, USA","(33.9934867, -81.0739825)",,
"CONWAY, SC","Conway, SC, USA","(33.8360034, -79.0478143)",,
"ROCK HILL, SC","Rock Hill, SC, USA","(34.9248667, -81.02507840000001)",,
"JACKSON, GA","Jackson, GA 30233, USA","(33.2945651, -83.96602089999999)",,
"UXBRIDGE, MA","Uxbridge, MA, USA","(42.07724289999999, -71.6302532)",,
"DYER, TN","Dyer, TN 38330, USA","(36.0667348, -88.99395489999999)",,
"DULUTH, GA","Duluth, GA, USA","(34.0028786, -84.1446376)",,
"SO FALLSBURG, NY","Fallsburg, NY, USA","(41.7313608, -74.60218909999999)",,
"TOWN CREEK, AL","Town Creek, AL 35672, USA","(34.6812011, -87.4061342)",,
"SOUTH PORTLAND, ME","South Portland, ME, USA","(43.6414716, -70.2408811)",,
"SALISBURY, MD","Salisbury, MD, USA","(38.3606736, -75.5993692)",,
"DALTON, GA","Dalton, GA, USA","(34.7698021, -84.9702228)",,
"JACKSONVILLE, NC","Jacksonville, NC, USA","(34.7540524, -77.4302414)",,
"VINCENNES, IN","Vincennes, IN 47591, USA","(38.677269, -87.5286325)",,
"MADISON, AL","Madison, AL, USA","(34.6992579, -86.74833180000002)",,
"KING OF PRUSSIA, PA","King of Prussia, PA, USA","(40.1012856, -75.3835525)",,
"GROTON, MA","Groton, MA, USA","(42.6112018, -71.5745152)",,
"BAY CITY, MI","Bay City, MI, USA","(43.5944677, -83.8888647)",,
"MARCY, NY","Marcy, NY 13403, USA","(43.1706253, -75.2915564)",,
"MC CALLA, AL","McCalla, AL 35111, USA","(33.345078, -87.0140057)",,
"BOYNTON BEACH, FL","Boynton Beach, FL, USA","(26.5317866, -80.0905465)",,
"AUBURN, MA","Auburn, MA, USA","(42.1945385, -71.8356271)",,
"PLATTSBURGH, NY","Plattsburgh, NY, USA","(44.6994873, -73.4529124)",,
"STANLEY, NY","Stanley, NY 14561, USA","(42.82492420000001, -77.0959499)",,
"WILLISTON, VT","Williston, VT, USA","(44.4454432, -73.099194)",,
"ELKRIDGE, MD","Elkridge, MD, USA","(39.1978788, -76.7625073)",,
"BILLERICA, MA","Billerica, MA, USA","(42.5584218, -71.2689461)",,
"NORTHAMPTON, PA","Northampton, PA, USA","(40.6862075, -75.4968501)",,
"NICHOLS, NY","Nichols, NY 13812, USA","(42.021741, -76.36688149999999)",,
"MOUNT DORA, FL","Mt Dora, FL 32757, USA","(28.8024918, -81.644519)",,
"COCOA, FL","Cocoa, FL, USA","(28.3861159, -80.7419984)",,
"TUCKER, GA","Tucker, GA, USA","(33.8545479, -84.2171424)",,
"AUGUSTA, GA","Augusta, GA, USA","(33.4734978, -82.0105148)",,
"WESTBURY, NY","Westbury, NY, USA","(40.7556561, -73.5876273)",,
"JESSUP, PA","Jessup, PA, USA","(41.46869239999999, -75.5621309)",,
"FARIBAULT, MN","Faribault, MN 55021, USA","(44.2949636, -93.268827)",,
"SANDSTON, VA","Sandston, VA, USA","(37.5234001, -77.3158452)",,
"FORT VALLEY, GA","Fort Valley, GA, USA","(32.5537585, -83.8874084)",,
"ATHENS, TN","Athens, TN 37303, USA","(35.4428512, -84.5929898)",,
"COLLEGEVILLE, PA","Collegeville, PA 19426, USA","(40.1856597, -75.451571)",,
"KATHLEEN, GA","Kathleen, GA 31047, USA","(32.4959812, -83.607683)",,
"EASTON, PA","Easton, PA, USA","(40.688432, -75.2207323)",,
"GLOVERSVILLE, NY","Gloversville, NY, USA","(43.0528506, -74.3437467)",,
"PERRY, GA","Perry, GA, USA","(32.4582065, -83.7315723)",,
"SEBRING, FL","Sebring, FL, USA","(27.495592, -81.440907)",,
"STONE MOUNTAIN, GA","Stone Mountain, GA, USA","(33.8081608, -84.17019599999999)",,
"WINTHROP, ME","Winthrop, ME, USA","(44.3050332, -69.9769721)",,
"WELCOME, NC","Welcome, NC 27295, USA","(35.9029152, -80.2569949)",,
"SHELBYVILLE, TN","Shelbyville, TN, USA","(35.483406, -86.46027169999999)",,
"FAIRLESS HILLS, PA","Fairless Hills, PA, USA","(40.1795537, -74.85516439999999)",,
"HEMINGWAY, SC","Hemingway, SC 29554, USA","(33.7537774, -79.4475566)",,
"CRITTENDEN, KY","Crittenden, KY, USA","(38.7845959, -84.60324039999999)",,
"URBANA, OH","Urbana, OH 43078, USA","(40.1083912, -83.7524298)",,
"HILLSIDE, IL","Hillside, IL, USA","(41.8778084, -87.90283980000001)",,
"CLAYTON, NC","Clayton, NC, USA","(35.650711, -78.4563914)",,
"RENTON, WA","Renton, WA, USA","(47.4796927, -122.2079218)",,
"MASSILLON, OH","Massillon, OH, USA","(40.7967244, -81.52150929999999)",,
"LINDEN, NJ","Linden, NJ, USA","(40.6220478, -74.24459019999999)",,
"GARLAND, TX","Garland, TX, USA","(32.912624, -96.63888329999999)",,
"LATROBE, PA","Latrobe, PA 15650, USA","(40.3211808, -79.37948109999999)",,
"PORTSMOUTH, VA","Portsmouth, VA, USA","(36.8354258, -76.2982742)",,
"HOUSTON, MS","Houston, MS 38851, USA","(33.8984461, -88.99922670000001)",,
"FENTON, MO","Fenton, MO, USA","(38.5126456, -90.4429881)",,
"GEORGETOWN, SC","Georgetown, SC 29440, USA","(33.376834, -79.2944964)",,
"WATERTOWN, NY","Watertown, NY 13601, USA","(43.9747838, -75.91075649999999)",,
"SAINT PAUL PARK, MN","St Paul Park, MN, USA","(44.8348405, -92.99255769999999)",,
"BRANTFORD, ON","Brantford, ON, Canada","(43.1393867, -80.2644254)",,
"BRAMPTON, ON","Brampton, ON, Canada","(43.7315479, -79.7624177)",,
"ABERDEEN, MD","Aberdeen, MD, USA","(39.5095556, -76.16411970000001)",,
"CUBA, NY","Cuba, NY 14727, USA","(42.2175668, -78.2752927)",,
"OTTAWA, ON","Ottawa, ON, Canada","(45.4215296, -75.69719309999999)",,
"LAKE BUENA VISTA, FL","Lake Buena Vista, FL 32830, USA","(28.3695351, -81.5261474)",,
"DURHAM, NC","Durham, NC, USA","(35.9940329, -78.898619)",,
"FLORENCE, NJ","Florence Township, NJ, USA","(40.0967369, -74.7863387)",,
"POLK CITY, FL","Polk City, FL 33868, USA","(28.1825147, -81.8239676)",,
"MILLVILLE, NJ","Millville, NJ 08332, USA","(39.4020596, -75.0393438)",,
"VICTOR, NY","Victor, NY 14564, USA","(42.9825633, -77.4088794)",,
"SAINT LAURENT, QC","Saint-Laurent, Montreal, QC, Canada","(45.4985638, -73.74975669999999)",,
"OCALA, FL","Ocala, FL, USA","(29.1871986, -82.14009229999999)",,
"WINTER GARDEN, FL","Winter Garden, FL 34787, USA","(28.5652787, -81.58618469999999)",,
"MATTHEWS, NC","Matthews, NC, USA","(35.1168131, -80.72368039999999)",,
"MACEDON, NY","Macedon, NY, USA","(43.064272, -77.3094674)",,
"DEPEW, NY","Depew, NY, USA","(42.9039476, -78.6922515)",,
"BROCKTON, MA","Brockton, MA, USA","(42.0834335, -71.0183787)",,
"FT LAUDERDALE, FL","Fort Lauderdale, FL, USA","(26.1224386, -80.13731740000001)",,
"COLUMBUS, OH","Columbus, OH, USA","(39.9611755, -82.99879419999999)",,
"FOREST VIEW, IL","Forest View, IL, USA","(41.8086431, -87.79338949999999)",,
"LAKEWOOD, NY","Lakewood, NY 14750, USA","(42.1042241, -79.3331041)",,
"SCARBOROUGH, ME","Scarborough, ME, USA","(43.5901974, -70.33449209999999)",,
"SOMERSET, KY","Somerset, KY, USA","(37.0920222, -84.6041084)",,
"WHITE RIVER JUNCTION, VT","White River Junction, Hartford, VT, USA","(43.6489596, -72.3192579)",,
"WESTMINSTER, MD","Westminster, MD, USA","(39.5753791, -76.9958149)",,
"COLUMBIA, PA","Columbia, PA, USA","(40.0337085, -76.50440979999999)",,
"FITZGERALD, GA","Fitzgerald, GA 31750, USA","(31.7149082, -83.25265449999999)",,
"JERSEY CITY, NJ","Jersey City, NJ, USA","(40.7177545, -74.0431435)",,
"ANGELICA, NY","Angelica, NY, USA","(42.3067345, -78.0158388)",,
"COATESVILLE, PA","Coatesville, PA 19320, USA","(39.9831616, -75.8238355)",,
"BEECH ISLAND, SC","Beech Island, SC 29842, USA","(33.4273614, -81.8909472)",,
"OWENSBORO, KY","Owensboro, KY, USA","(37.7719074, -87.1111676)",,
"COAL TOWNSHIP, PA","Coal Township, PA, USA","(40.7926715, -76.5640614)",,
"EVANSVILLE, IN","Evansville, IN, USA","(37.9715592, -87.5710898)",,
"ROBESONIA, PA","Robesonia, PA 19551, USA","(40.3517591, -76.134389)",,
"INTERLAKEN, NY","Interlaken, NY 14847, USA","(42.6170155, -76.7249502)",,
"AUSTIN, TX","Austin, TX, USA","(30.267153, -97.7430608)",,
"MCDONOUGH, GA","McDonough, GA, USA","(33.4473361, -84.1468616)",,
"EDEN PRAIRIE, MN","Eden Prairie, MN, USA","(44.8546856, -93.47078599999999)",,
"GARYSBURG, NC","Garysburg, NC, USA","(36.450985, -77.5588661)",,
"GASTONIA, NC","Gastonia, NC, USA","(35.262082, -81.18730049999999)",,
"BLYTHEWOOD, SC","Blythewood, SC, USA","(34.2143159, -80.97397699999999)",,
"PENDERGRASS, GA","Pendergrass, GA, USA","(34.16232919999999, -83.6779473)",,
"FINDLAY, OH","Findlay, OH 45840, USA","(41.04422, -83.6499321)",,
"LUMBERTON, NC","Lumberton, NC, USA","(34.6182199, -79.0086424)",,
"JONESTOWN, PA","Jonestown, PA, USA","(40.4137017, -76.4782965)",,
"RICHMOND, IN","Richmond, IN 47374, USA","(39.8289369, -84.8902382)",,
"MANCHESTER, TN","Manchester, TN 37355, USA","(35.4817431, -86.0885993)",,
"JAFFREY, NH","Jaffrey, NH 03452, USA","(42.8139651, -72.0231238)",,
"MT PLEASANT, TN","Mt Pleasant, TN, USA","(35.5342414, -87.20695409999999)",,
"SAVAGE, MN","Savage, MN, USA","(44.7647329, -93.3591147)",,
"WEST HAVEN, CT","West Haven, CT 06516, USA","(41.2705484, -72.9469711)",,
"HARTSVILLE, SC","Hartsville, SC 29550, USA","(34.3740431, -80.07340049999999)",,
"FAIRFIELD, OH","Fairfield, OH, USA","(39.3454673, -84.5603187)",,
"YORK, SC","York, SC 29745, USA","(34.9943021, -81.24201750000002)",,
"WALTERBORO, SC","Walterboro, SC 29488, USA","(32.9051704, -80.6667688)",,
"MOUNT PLEASANT, TN","Mt Pleasant, TN, USA","(35.5342414, -87.20695409999999)",,
"LINCOLNTON, NC","Lincolnton, NC 28092, USA","(35.473745, -81.2545251)",,
"WOODBINE, GA","Woodbine, GA 31569, USA","(30.9638429, -81.7226063)",,
"WOODRIDGE, IL","Woodridge, IL, USA","(41.7469749, -88.0503406)",,
"EAST PEORIA, IL","East Peoria, IL, USA","(40.666149, -89.5800978)",,
"WARMINSTER, PA","Warminster, PA 18974, USA","(40.2067884, -75.099807)",,
"REIDSVILLE, NC","Reidsville, NC 27320, USA","(36.3548586, -79.6644747)",,
"DOWNINGTOWN, PA","Downingtown, PA 19335, USA","(40.0064958, -75.7032742)",,
"VANCOUVER, WA","Vancouver, WA, USA","(45.6257379, -122.6760886)",,
"TOPPENISH, WA","Toppenish, WA 98948, USA","(46.3773509, -120.3086667)",,
"VALDOSTA, GA","Valdosta, GA, USA","(30.8327022, -83.2784851)",,
"ST PETERSBURG, FL","St. Petersburg, FL, USA","(27.7676008, -82.64029149999999)",,
"INVER GROVE, MN","Inver Grove Heights, MN, USA","(44.8480218, -93.04271530000001)",,
"NORTHWOOD, NH","Northwood, NH 03261, USA","(43.194249, -71.15089689999999)",,
"DORAVILLE, GA","Doraville, GA, USA","(33.8981579, -84.2832564)",,
"CHICAGO RIDGE, IL","Chicago Ridge, IL, USA","(41.7014217, -87.77921959999999)",,
